AREA,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:fb:72,e8:6d:e9:0f:fb:71,e8:6d:e9:0f:fb:70,98:48:74:29:88:60,60:12:3c:31:f6:61,20:87:ec:37:f9:d2,20:87:ec:37:f9:d1,20:87:ec:37:f9:d0,60:12:3c:31:f6:62,e8:6d:e9:10:35:a1,e8:6d:e9:0f:d5:e0,e8:6d:e9:0f:d8:30
PACKAGING_LINES,-83,-81,-81,-89,-89,-89,-120,-120,-120,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-79,-81,-81,-89,-89,-120,-85,-85,-120,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-120,-120,-120,-120,-120,-120,-85,-82,-80,-81,-80,-87,-120,-120,-120
PACKAGING_LINES,-85,-85,-85,-120,-120,-120,-89,-120,-77,-77,-78,-83,-120,-120,-120
PACKAGING_LINES,-120,-89,-89,-120,-120,-120,-85,-120,-75,-75,-76,-120,-120,-120,-120
PACKAGING_LINES,-85,-85,-83,-89,-89,-89,-120,-120,-120,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-89,-89,-89,-89,-120,-89,-120,-120,-83,-82,-83,-120,-120,-120,-120
PACKAGING_LINES,-89,-89,-120,-120,-120,-120,-81,-120,-78,-78,-76,-74,-120,-120,-120
PACKAGING_LINES,-120,-120,-120,-120,-120,-120,-81,-83,-120,-75,-76,-120,-120,-120,-120
PACKAGING_LINES,-85,-85,-85,-89,-89,-89,-120,-120,-80,-80,-120,-120,-120,-120,-120
PACKAGING_LINES,-85,-89,-89,-120,-120,-120,-120,-120,-81,-82,-82,-120,-120,-120,-120
PACKAGING_LINES,-89,-89,-89,-120,-120,-120,-81,-120,-87,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-85,-85,-85,-120,-89,-89,-120,-120,-83,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-89,-89,-89,-120,-120,-120,-120,-120,-85,-85,-85,-120,-120,-120,-120
PACKAGING_LINES,-89,-89,-89,-120,-120,-120,-120,-120,-82,-82,-81,-81,-120,-120,-120
PACKAGING_LINES,-89,-89,-85,-120,-120,-120,-120,-120,-80,-79,-80,-120,-120,-120,-120
PACKAGING_LINES,-81,-81,-81,-89,-89,-120,-120,-120,-79,-80,-120,-120,-120,-120,-120
PACKAGING_LINES,-83,-83,-83,-120,-120,-120,-120,-120,-79,-80,-80,-120,-120,-120,-120
PACKAGING_LINES,-85,-85,-89,-89,-89,-89,-120,-120,-81,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-83,-83,-83,-89,-89,-89,-120,-120,-75,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-77,-77,-77,-89,-89,-89,-120,-120,-83,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-78,-78,-78,-89,-89,-89,-120,-120,-82,-82,-120,-120,-120,-120,-120
PACKAGING_LINES,-72,-72,-72,-89,-89,-89,-120,-120,-85,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-120,-120,-120,-85,-85,-85,-65,-120,-120,-120,-120,-120,-120,-120,-120
PACKAGING_LINES,-83,-83,-81,-89,-89,-89,-120,-120,-120,-120,-120,-120,-120,-120,-120
