AREA,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,20:87:ec:37:f9:d2,20:87:ec:37:f9:d1,20:87:ec:37:f9:d0,98:48:74:29:88:60,98:48:74:29:88:62,e8:6d:e9:0f:fb:72,e8:6d:e9:0f:fb:71,e8:6d:e9:0f:fb:70,60:12:3c:31:f6:62,98:48:74:29:88:61,e8:6d:e9:0f:f4:a2,e8:6d:e9:10:37:a2
PERMITTED_AREA,-85,-83,-85,-83,-85,-87,-89,-120,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-89,-74,-74,-74,-85,-85,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-83,-83,-83,-120,-120,-120,-83,-120,-83,-83,-83,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-83,-83,-85,-85,-85,-89,-81,-72,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-89,-120,-85,-85,-85,-120,-120,-120,-71
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-120,-120,-85,-85,-85,-120,-120,-83,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-120,-120,-81,-81,-81,-120,-120,-83,-66
PERMITTED_AREA,-120,-120,-120,-120,-120,-85,-89,-120,-74,-74,-74,-120,-89,-120,-70
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-120,-120,-76,-76,-76,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-80,-80,-78,-120,-120,-59,-59,-59,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-78,-120,-73,-72,-72,-120,-120,-120,-70
PERMITTED_AREA,-120,-120,-120,-120,-80,-76,-85,-120,-70,-70,-70,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-120,-82,-82,-89,-89,-73,-73,-73,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-65,-65,-65,-85,-120,-81,-81,-81,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-69,-69,-69,-89,-120,-89,-85,-89,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-67,-66,-66,-89,-89,-89,-89,-89,-120,-89,-120,-120
PERMITTED_AREA,-120,-120,-120,-66,-65,-65,-85,-120,-89,-89,-89,-120,-120,-120,-120 
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-81,-81,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-73,-72,-72,-79,-120,-78,-120,-120,-83,-83,-85,-120,-120,-120,-120
PERMITTED_AREA,-72,-71,-71,-120,-120,-120,-78,-120,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-73,-73,-73,-83,-83,-83,-68,-120,-89,-89,-89,-120,-120,-120,-120
PERMITTED_AREA,-81,-81,-81,-85,-120,-87,-69,-120,-120,-120,-120,-120,-120,-120,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-79,-79,-89,-89,-89,-120,-79,-77,-120
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-81,-120,-79,-79,-79,-120,-120,-120,-80
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-89,-120,-85,-85,-85,-120,-120,-120,-76
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-85,-120,-83,-83,-83,-120,-120,-120,-77
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-89,-120,-85,-85,-85,-120,-120,-120,-78
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-89,-120,-85,-85,-83,-120,-120,-120,-70
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-83,-120,-81,-79,-79,-120,-120,-120,-64
PERMITTED_AREA,-120,-120,-120,-120,-120,-120,-85,-85,-76,-76,-76,-120,-85,-120,-67
