AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1
WAREHOUSE,ACCESS_RESTRICTED,-89,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-73,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-120,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-67,-68,-67
WAREHOUSE,ACCESS_RESTRICTED,-83,-85,-83
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-67,-68,-67
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-120,-120,-120
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-120,-120,-120
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-83,-81,-83,
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-120,-120,-120
SORTING_LINES_1_TO_3,ACCESS_RESTRICTED,-85,-85,-85
SORTING_LINES_1_TO_3,ACCESS_RESTRICTED,-79,-78,-78
SORTING_LINES_1_TO_3,ACCESS_RESTRICTED,-120,-120,-120
SORTING_LINES_1_TO_3,ACCESS_RESTRICTED,-76,-77,-77
SORTING_LINES_1_TO_3,ACCESS_RESTRICTED,-74,-74,-75
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-72,-73,-73
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-83,-85,-85
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-81,-81,-81
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-77,-78,-77
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-120,-89,-89
PACKAGING_LINES,ACCESS_RESTRICTED,-83,-81,-81
PACKAGING_LINES,ACCESS_RESTRICTED,-79,-81,-81
PACKAGING_LINES,ACCESS_RESTRICTED,-120,-120,-120
PACKAGING_LINES,ACCESS_RESTRICTED,-85,-85,-85
PACKAGING_LINES,ACCESS_RESTRICTED,-120,-89,-89
PERMITTED_AREA,ACCESS_PERMITTED,-85,-83,-85
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-89
PERMITTED_AREA,ACCESS_PERMITTED,-83,-83,-83
PERMITTED_AREA,ACCESS_PERMITTED,-120,-120,-120
