AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:fb:72,e8:6d:e9:0f:fb:71,e8:6d:e9:0f:fb:70,20:87:ec:37:f9:d2,20:87:ec:37:f9:d1,98:48:74:29:88:60,20:87:ec:37:f9:d0,e8:6d:e9:10:37:a2,e8:6d:e9:10:37:a1,98:48:74:29:88:61,e8:6d:e9:0f:f4:a2,98:48:74:29:88:62
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-72,-73,-73,-85,-85,-85,-120,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-83,-85,-85,-120,-120,-89,-82,-81,-77,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-81,-81,-81,-89,-89,-89,-77,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-77,-78,-77,-120,-120,-120,-120,-76,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-120,-89,-89,-89,-120,-89,-120,-120,-89,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-85,-85,-83,-120,-120,-120,-120,-120,-71,-120,-120,-120,-72,-59,-72
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-74,-74,-74,-85,-85,-85,-120,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-89,-89,-89,-89,-89,-89,-71,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-85,-89,-85,-85,-85,-85,-69,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-85,-85,-85,-89,-89,-89,-81,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_4_AND_5,ACCESS_RESTRICTED,-85,-85,-85,-89,-89,-89,-76,-120,-120,-120,-120,-120,-120,-120,-120
