AREA,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:fb:72,e8:6d:e9:0f:fb:71,e8:6d:e9:0f:fb:70,20:87:ec:37:f9:d2,20:87:ec:37:f9:d1,20:87:ec:37:f9:d0,e8:6d:e9:10:37:a2,e8:6d:e9:10:37:a1,98:48:74:29:88:60,98:48:74:29:88:62,98:48:74:29:88:61,e8:6d:e9:0f:f4:a2
SORTING_LINES_6_TO_8,-67,-68,-67,-85,-85,-85,-120,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-85,-85,-89,-87,-89,-89,-75,-75,-120,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-81,-81,-81,-120,-120,-120,-120,-120,-89,-85,-89,-73
SORTING_LINES_6_TO_8,-83,-81,-83,-85,-85,-83,-120,-120,-120,-120,-120,-83,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-85,-85,-85,-120,-120,-120,-68,-69,-83,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-85,-89,-85,-120,-120,-120,-120,-120,-85,-120,-120,-120
SORTING_LINES_6_TO_8,-89,-89,-89,-83,-83,-83,-120,-120,-120,-120,-120,-81,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-81,-81,-81,-120,-120,-120,-120,-120,-78,-78,-78,-81
SORTING_LINES_6_TO_8,-120,-120,-120,-83,-85,-83,-120,-120,-120,-120,-120,-78,-78,-78,-82
SORTING_LINES_6_TO_8,-89,-89,-89,-81,-81,-81,-120,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_6_TO_8,-120,-120,-120,-76,-77,-76,-120,-120,-120,-120,-120,-77,-78,-78,-83
SORTING_LINES_6_TO_8,-89,-89,-89,-74,-74,-74,-120,-120,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_6_TO_8,-89,-89,-89,-81,-81,-81,-120,-89,-120,-120,-120,-120,-120,-120,-120
SORTING_LINES_6_TO_8,-89,-120,-89,-81,-81,-83,-120,-120,-120,-70,-70,-74,-120,-120,-120
