AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:e1,e8:6d:e9:0f:d5:e2,e8:6d:e9:0f:d5:e0,e8:6d:e9:0f:d8:30,e8:6d:e9:10:37:a2,e8:6d:e9:0f:d8:31,e8:6d:e9:0f:d8:20,e8:6d:e9:0f:d8:32,e8:6d:e9:10:37:a0,e8:6d:e9:0f:d8:21,e8:6d:e9:0f:d8:22,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,60:12:3c:31:f6:61
WAREHOUSE,ACCESS_RESTRICTED,-89,-87,-87,-87,-83,-87,-81,-64,-83,-87,-120,-120,-120,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-73,-67,-67,-120,-66,-120,-67,-120,-67,-120,-120,-120,-73,-73,-120
WAREHOUSE,ACCESS_RESTRICTED,-120,-120,-120,-120,-67,-120,-67,-51,-67,-120,-51,-51,-120,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-67,-120,-120,-120,-89,-120,-89,-120,-89,-120,-120,-120,-68,-67,-80
WAREHOUSE,ACCESS_RESTRICTED,-83,-85,-87,-85,-120,-120,-120,-120,-120,-120,-120,-120,-85,-83,-120
WAREHOUSE,ACCESS_RESTRICTED,-89,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-89,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-74,-120,-85,-120,-69,-120,-69,-77,-69,-120,-76,-120,-75,-75,-120
WAREHOUSE,ACCESS_RESTRICTED,-78,-69,-69,-69,-120,-120,-120,-120,-120,-120,-120,-120,-78,-78,-120
WAREHOUSE,ACCESS_RESTRICTED,-74,-120,-120,-120,-85,-120,-85,-120,-85,-120,-120,-120,-74,-74,-120
WAREHOUSE,ACCESS_RESTRICTED,-77,-83,-85,-85,-120,-120,-120,-120,-120,-120,-120,-120,-78,-77,-120
WAREHOUSE,ACCESS_RESTRICTED,-69,-120,-120,-120,-89,-120,-120,-120,-89,-120,-120,-120,-69,-69,-120
WAREHOUSE,ACCESS_RESTRICTED,-89,-120,-120,-120,-85,-120,-120,-120,-120,-120,-120,-120,-89,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-120,-120,-120,-120,-120,-80,-89,-87,-89,-120,-120,-89,-120,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-120,-89,-89,-87,-75,-120,-75,-65,-76,-120,-65,-65,-120,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-78,-72,-73,-73,-72,-120,-72,-59,-120,-120,-120,-120,-78,-78,-120
WAREHOUSE,ACCESS_RESTRICTED,-89,-87,-85,-87,-50,-120,-51,-39,-50,-120,-39,-38,-89,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-85,-85,-83,-83,-44,-120,-44,-43,-44,-120,-43,-43,-89,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-120,-120,-120,-120,-81,-120,-81,-80,-79,-120,-79,-79,-120,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-89,-120,-120,-120,-85,-76,-89,-120,-89,-120,-120,-120,-89,-89,-120
WAREHOUSE,ACCESS_RESTRICTED,-83,-120,-120,-120,-85,-82,-85,-120,-120,-120,-120,-120,-85,-85,-120
WAREHOUSE,ACCESS_RESTRICTED,-78,-120,-120,-120,-70,-120,-69,-120,-70,-120,-120,-120,-77,-78,-120
WAREHOUSE,ACCESS_RESTRICTED,-66,-120,-120,-120,-81,-120,-81,-120,-120,-120,-120,-120,-65,-65,-120
WAREHOUSE,ACCESS_RESTRICTED,-59,-120,-120,-120,-89,-120,-120,-120,-120,-120,-120,-120,-59,-59,-120
WAREHOUSE,ACCESS_RESTRICTED,-70,-76,-76,-76,-120,-120,-120,-120,-120,-120,-120,-120,-70,-70,-120
WAREHOUSE,ACCESS_RESTRICTED,-63,-71,-71,-70,-120,-120,-120,-120,-120,-120,-120,-120,-63,-63,-120
WAREHOUSE,ACCESS_RESTRICTED,-63,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-120,-63,-62,-120

























