AREA,ACCESS_STATUS,e8:6d:e9:0f:d5:f2,e8:6d:e9:0f:d5:e1,e8:6d:e9:0f:d5:e2,e8:6d:e9:0f:d5:f0,e8:6d:e9:0f:d5:f1,e8:6d:e9:0f:d5:e0,e8:6d:e9:0f:d8:30,e8:6d:e9:0f:d8:31,e8:6d:e9:0f:d8:20,98:48:74:29:7c:94,e8:6d:e9:0f:d8:32,e8:6d:e9:0f:d8:21
WAREHOUSE,ACCESS_RESTRICTED,-59,-58,-60,-58,-57,-60,-51,-53,-52,-64,-51,-52
WAREHOUSE,ACCESS_RESTRICTED,-68,-66,-72,-70,-68,-70,-39,-40,-38,-56,-39,-40
WAREHOUSE,ACCESS_RESTRICTED,-76,-72,-76,-75,-74,-76,-35,-36,-32,-62,-35,-32
WAREHOUSE,ACCESS_RESTRICTED,-78,-70,-70,-77,-77,-70,-40,-42,-40,-68,-41,-36
WAREHOUSE,ACCESS_RESTRICTED,-78,-78,-80,-77,-77,-80,-37,-37,-40,-68,-37,-40
WAREHOUSE,ACCESS_RESTRICTED,-68,-66,-68,-69,-71,-68,-71,-70,-72,-66,-70,-68
WAREHOUSE,ACCESS_RESTRICTED,-77,-74,-120,-76,-75,-74,-73,-71,-70,-62,-73,-68
WAREHOUSE,ACCESS_RESTRICTED,-68,-64,-64,-69,-69,-66,-58,-60,-60,-44,-58,-60
WAREHOUSE,ACCESS_RESTRICTED,-55,-52,-48,-54,-56,-52,-57,-57,-48,-56,-58,-48
WAREHOUSE,ACCESS_RESTRICTED,-42,-50,-52,-40,-40,-50,-120,-120,-68,-70,-120,-70
WAREHOUSE,ACCESS_RESTRICTED,-52,-48,-46,-52,-51,-48,-120,-120,-74,-62,-76,-70
WAREHOUSE,ACCESS_RESTRICTED,-68,-64,-62,-71,-69,-62,-120,-120,-74,-68,-76,-120
WAREHOUSE,ACCESS_RESTRICTED,-63,-64,-68,-63,-62,-68,-120,-120,-120,-72,-120,-120
WAREHOUSE,ACCESS_RESTRICTED,-64,-60,-60,-65,-65,-60,-72,-72,-72,-78,-74,-72
WAREHOUSE,ACCESS_RESTRICTED,-46,-42,-42,-42,-43,-42,-73,-72,-68,-68,-72,-76
SORTING_LINES_6_TO_8,ACCESS_RESTRICTED,-72,-120,-68,-72,-74,-70,-65,-62,-58,-40,-64,-64
